Round,Pick,Mod Enum,FM?,Map ID,Map Text,Round,Pick,Mod Enum,FM?,Map ID,Map Text,Hyperlink
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
,,,FALSE,,,,,,,,,
